[island 6] 2026-01-30 14:35:17,893 | INFO | 7326 | === CodeEvolve ===
[island 6] 2026-01-30 14:35:17,894 | INFO | 7326 | ====== PREPARING COMPONENTS ======
[island 6] 2026-01-30 14:35:17,932 | INFO | 7326 | Starting anew.
[island 6] 2026-01-30 14:35:18,781 | INFO | 7326 | Attempting to evaluate program...
[island 6] 2026-01-30 14:35:19,739 | INFO | 7326 | Evaluated program without errors.
[island 6] 2026-01-30 14:35:19,739 | INFO | 7326 | sol_db=ProgramDatabase(id=6,total_programs=1,mode=MAP-Elites,elite_map=CVTEliteMap(num_centroids=30))
[island 6] 2026-01-30 14:35:19,739 | INFO | 7326 | prompt_db=ProgramDatabase(id=6,total_programs=1,mode=standard,num_alive=1,max_alive=None)
[island 6] 2026-01-30 14:35:19,739 | INFO | 7326 | exploration_ensemble=LMEnsemble(
  (model): 1
  (0): OpenAILM(model_name=AWS_QWEN-QWEN3-CODER-30B-INSTRUCT,temp=0.7,top_p=0.8,weight=1)
)
[island 6] 2026-01-30 14:35:19,739 | INFO | 7326 | exploitation_ensemble=LMEnsemble(
  (model): 1
  (0): OpenAILM(model_name=AWS_QWEN-QWEN3-CODER-30B-INSTRUCT,temp=0.7,top_p=0.8,weight=1)
)
[island 6] 2026-01-30 14:35:19,739 | INFO | 7326 | prompt_sampler=PromptSampler(aux_lm=OpenAILM(model_name=AWS_QWEN-QWEN3-CODER-30B-INSTRUCT,temp=0.7,top_p=0.8,weight=1))
[island 6] 2026-01-30 14:35:19,739 | INFO | 7326 | evaluator=Evaluator(eval_path=evaluate.py,cwd=problems/alphaevolve_math_problems/minimizing_max_min_dist/2/input,timeout_s=60,max_mem_b=1000000000,mem_check_interval_s=0.1)
[island 6] 2026-01-30 14:35:19,739 | INFO | 7326 | embedding=None
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | scheduler=PlateauScheduler(exploration_rate=0.2,min_rate=0.2,max_rate=0.25,plateau_threshold=5,increase_factor=1.05,decrease_factor=0.95,)
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | init_prog=Program(id=747c06ee-d8ef-473c-a520-4c7c09b7eae2,fitness=0.01979112,island_found=6,iteration_found=0,returncode=0,eval_metrics={'min_max_ratio': 0.0015354732902234823, 'benchmark_ratio': 0.01979112384555867, 'eval_time': 0.0607759952545166})
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | ============ STARTING EVOLUTIONARY LOOP ============
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Starting from epoch 0 with evolve_config = {'ckpt': 10, 'early_stopping_rounds': None, 'evolve_end_marker': '# EVOLVE-BLOCK-END', 'evolve_start_marker': '# EVOLVE-BLOCK-START', 'exploration_rate': 0.2, 'fitness_key': 'benchmark_ratio', 'init... [TRUNCATED]
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | ========= EPOCH 1 =========
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Global early stopping counter: 0/None
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Exploration rate: 0.2
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Best prompt: Program(id=0974dea7-1ace-4f63-b62f-01091888d132,fitness=0.00000000,island_found=6,iteration_found=0,returncode=None,eval_metrics={})
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Best solution: Program(id=747c06ee-d8ef-473c-a520-4c7c09b7eae2,fitness=0.01979112,island_found=6,iteration_found=0,returncode=0,eval_metrics={'min_max_ratio': 0.0015354732902234823, 'benchmark_ratio': 0.01979112384555867, 'eval_time': 0.0607759952545166})
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | sol_db EliteMap: {4: ('747c06ee-d8ef-473c-a520-4c7c09b7eae2', 0.01979112384555867)}
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Generating initial populations: True
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Exploration: False
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Exploitation: False
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | === SELECTION STEP ===
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Generating initial population: selecting initial solution and prompt as parents.
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Selected 0 inspirations.
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | === META-PROMPT STEP ===
[island 6] 2026-01-30 14:35:19,740 | INFO | 7326 | Attempting to run meta_prompt on OpenAILM(model_name=AWS_QWEN-QWEN3-CODER-30B-INSTRUCT,temp=0.7,top_p=0.8,weight=1)...
[island 6] 2026-01-30 14:35:21,984 | INFO | 7326 | Successfully retrieved response, using 1433 prompt tokens and 397 completion tokens.
[island 6] 2026-01-30 14:35:21,984 | INFO | 7326 | Attempting to SEARCH/REPLACE on prompt...
[island 6] 2026-01-30 14:35:21,985 | INFO | 7326 | Successfully modified parent prompt.
[island 6] 2026-01-30 14:35:21,985 | INFO | 7326 | Adding child_prompt to prompt_db.
[island 6] 2026-01-30 14:35:21,985 | INFO | 7326 | === EVOLVE CODE STEP ===
[island 6] 2026-01-30 14:35:21,985 | INFO | 7326 | Chat consists of 2 messages (max_chat_depth = 0).
[island 6] 2026-01-30 14:35:21,985 | INFO | 7326 | Attempting to run prompt on OpenAILM(model_name=AWS_QWEN-QWEN3-CODER-30B-INSTRUCT,temp=0.7,top_p=0.8,weight=1)...
[island 6] 2026-01-30 14:35:26,038 | INFO | 7326 | Successfully retrieved response, using 1795 prompt tokens and 1087 completion tokens.
[island 6] 2026-01-30 14:35:26,039 | INFO | 7326 | Attempting to SEARCH/REPLACE on solution...
[island 6] 2026-01-30 14:35:26,039 | INFO | 7326 | Successfully modified parent solution.
[island 6] 2026-01-30 14:35:26,039 | INFO | 7326 | Attempting to evaluate program...
[island 6] 2026-01-30 14:35:27,113 | INFO | 7326 | Evaluated program without errors.
[island 6] 2026-01-30 14:35:27,113 | INFO | 7326 | Child solution -> Program(id=340cc9a4-c349-459d-a46f-e093da58e787,fitness=0.16403539,island_found=6,iteration_found=1,returncode=0,eval_metrics={'min_max_ratio': 0.012726511324573558, 'benchmark_ratio': 0.1640353911398102, 'eval_time': 0.343... [TRUNCATED]
[island 6] 2026-01-30 14:35:27,113 | INFO | 7326 | Child solution improves on parent prompt fitness.
[island 6] 2026-01-30 14:35:27,113 | INFO | 7326 | Adding child_sol to sol_db.
[island 6] 2026-01-30 14:35:27,113 | INFO | 7326 | New best program found -> 0.1640353911398102.
[island 6] 2026-01-30 14:35:27,113 | INFO | 7326 | === GLOBAL EARLY STOPPING CHECK STEP ===
[island 6] 2026-01-30 14:35:27,114 | INFO | 7326 | Global best solution improved.
[island 6] 2026-01-30 14:35:27,114 | INFO | 7326 | Waiting for all islands to report progress...
[island 6] 2026-01-30 14:35:50,081 | INFO | 7326 | All islands synced.
[island 6] 2026-01-30 14:35:50,081 | INFO | 7326 | Waiting for other islands to finish early stopping check...
[island 6] 2026-01-30 14:35:50,082 | INFO | 7326 | All islands synced.
[island 6] 2026-01-30 14:35:50,083 | INFO | 7326 | === END EPOCH SYNC STEP ===
[island 6] 2026-01-30 14:35:50,083 | INFO | 7326 | Waiting for other islands to finish epoch...
[island 6] 2026-01-30 14:35:50,083 | INFO | 7326 | All islands finished. Moving to next epoch.
[island 6] 2026-01-30 14:35:50,083 | INFO | 7326 | ========= EPOCH 2 =========
